3 :: Bob :: ACC :: CARD_BOB :: Sed nisi Nulla quis sem at nibh elementum  :: -500 :: 1425855600 :: 0 :: 1425928738
2 :: Common :: LIFE :: CARD_COMMON :: imperdiet Duis  :: -25.04 :: 1425855600 :: 0 :: 1425934823
2 :: Alice :: ACC :: CARD_COMMON :: sagittis ipsum  :: -100 :: 1425855600 :: 0 :: 1425938116
2 :: Alice :: ACC :: SAVINGS_ALICE :: Praesent mauris Fusce  :: 100 :: 1425855600 :: 0 :: 1425938117
3 :: Bob :: FUN :: CASH_COMMON :: nec tellus sed augue  :: -2 :: 1426028400 :: 1426374000 :: 1426072653
3 :: Bob :: TRANS :: CARD_BOB :: semper porta Mauris  :: -51 :: 1426028400 :: 0 :: 1426188094
2 :: Alice :: ACC :: CARD_ALICE :: massa Vestibulum  :: -47.3 :: 1426028400 :: 0 :: 1426243738
3 :: Common :: LIFE :: CASH_COMMON :: lacinia arcu eget nulla :: -5 :: 1426287600 :: 0 :: 1426357028
3 :: Bob :: FUN :: CASH_COMMON :: Class aptent taciti  :: -0.65 :: 1426287600 :: 0 :: 1426357039
2 :: Common :: LIFE :: CASH_ALICE :: sociosqu ad litora  :: -1 :: 1425942000 :: 0 :: 1426427659
2 :: Alice :: FUN :: CASH_ALICE :: torquent per conubia  :: -1.9 :: 1426028400 :: 0 :: 1426427694
2 :: Common :: LIFE :: CASH_ALICE :: nostra, per inceptos  :: -10 :: 1426201200 :: 0 :: 1426427829
2 :: Bob :: FUN :: CASH_ALICE :: himenaeos Curabitur  :: -25 :: 1426201200 :: 0 :: 1426427830
2 :: Alice :: FUN :: CASH_ALICE :: sodales ligula in  :: -26 :: 1426201200 :: 0 :: 1426427831
2 :: Bob :: FUN :: CASH_COMMON :: libero Sed dignissim  :: -1 :: 1426201200 :: 0 :: 1426427832
2 :: Common :: LIFE :: CASH_ALICE :: lacinia nunc  :: -3 :: 1426287600 :: 0 :: 1426427860
2 :: Common :: LIFE :: CARD_COMMON :: Curabitur tortor  :: -30.82 :: 1426374000 :: 0 :: 1426427944
2 :: Common :: MED :: CARD_ALICE :: Pellentesque nibh  :: -31.09 :: 1426374000 :: 0 :: 1426429038
2 :: Common :: LIFE :: CASH_ALICE :: Aenean quam In  :: -5 :: 1426546800 :: 0 :: 1426798625
