3 :: CARD_BOB :: 270.4 :: 1425855600 :: 1425928771
3 :: CARD_COMMON :: 4273.02 :: 1425942000 :: 1425928820
3 :: CASH_COMMON :: 49.23 :: 1425855600 :: 1425929367
3 :: CASH_COMMON :: 40.58 :: 1426287600 :: 1426357095
2 :: CASH_ALICE :: 36.52 :: 1426374000 :: 1426427900
2 :: CARD_:: ALICE :: 414.23 :: 1426374000 :: 1426429123
2 :: CASH_ALICE :: 20.92 :: 1426719600 :: 1426799317
3 :: CASH_COMMON :: 34.58 :: 1427151600 :: 1427231962
2 :: CASH_ALICE :: 16.32 :: 1427324400 :: 1427397875
3 :: CARD_COMMON :: 2587.86 :: 1427410800 :: 1427485917
3 :: CARD_BOB :: 162.65 :: 1427410800 :: 1427486406
2 :: CASH_ALICE :: 0.32 :: 1427497200 :: 1427551826
2 :: CARD_:: ALICE :: 356.33 :: 1427497200 :: 1427632274
3 :: CASH_COMMON :: 14.3 :: 1427752800 :: 1427801018
3 :: CASH_COMMON :: 64.3 :: 1427752800 :: 1427801055
3 :: CASH_COMMON :: 57.65 :: 1428012000 :: 1428083426
2 :: CASH_ALICE :: 60.44 :: 1428098400 :: 1428151033
3 :: CARD_BOB :: 248.17 :: 1428271200 :: 1428213473
3 :: CARD_COMMON :: 4957.03 :: 1428271200 :: 1428213529
2 :: CASH_ALICE :: 80.74 :: 1428616800 :: 1428688810
2 :: CASH_ALICE :: 76.74 :: 1428703200 :: 1428786036
2 :: CARD_:: ALICE :: 306.83 :: 1428703200 :: 1428787186
3 :: CARD_BOB :: 223.17 :: 1429135200 :: 1429180414
3 :: CARD_COMMON :: 3862.73 :: 1429135200 :: 1429180666
3 :: CASH_COMMON :: 48.35 :: 1429135200 :: 1429180913
2 :: CASH_ALICE :: 72.54 :: 1429308000 :: 1429356348
3 :: CASH_COMMON :: 11.2 :: 1429567200 :: 1429646862
2 :: CASH_ALICE :: 10.44 :: 1429826400 :: 1429887043
3 :: CASH_COMMON :: 0.6 :: 1429912800 :: 1429956435
2 :: CASH_ALICE :: 0.44 :: 1429912800 :: 1429993588
3 :: CASH_COMMON :: 30.6 :: 1430085600 :: 1430133833
3 :: CARD_BOB :: 180.17 :: 1430085600 :: 1430134073
3 :: CARD_COMMON :: 3069.24 :: 1430085600 :: 1430134623
2 :: CASH_ALICE :: 50.44 :: 1430085600 :: 1430160848
2 :: CASH_ALICE :: 24.34 :: 1430517600 :: 1430573174
3 :: CASH_COMMON :: 23.6 :: 1430517600 :: 1430592197
2 :: CASH_ALICE :: 64.34 :: 1430604000 :: 1430668284
3 :: CARD_BOB :: 263.61 :: 1430690400 :: 1430768656
3 :: CASH_COMMON :: 17.6 :: 1430776800 :: 1430853741
2 :: CASH_ALICE :: 40.44 :: 1430863200 :: 1430910215
2 :: CASH_ALICE :: 306.12 :: 1431208800 :: 1431253520
2 :: CASH_ALICE :: 297.42 :: 1431381600 :: 1431460214
3 :: CASH_COMMON :: 33.31 :: 1431468000 :: 1431514344
3 :: CASH_COMMON :: 27.31 :: 1431468000 :: 1431522328
3 :: CASH_COMMON :: 2.31 :: 1431468000 :: 1431530048
2 :: CARD_COMMON :: 3575.22 :: 1431468000 :: 1431542283
3 :: CASH_COMMON :: 2.1 :: 1431900000 :: 1431953060
2 :: CASH_ALICE :: 295.05 :: 1431900000 :: 1431960235
3 :: CASH_COMMON :: 25.45 :: 1432072800 :: 1432058693
3 :: CASH_COMMON :: 17.65 :: 1432072800 :: 1432140137
2 :: CASH_ALICE :: 286.25 :: 1432591200 :: 1432668242
2 :: CARD_:: ALICE :: 457.88 :: 1432159200 :: 1432669107
3 :: CASH_COMMON :: 1.87 :: 1432936800 :: 1433001197
2 :: CASH_ALICE :: 239.65 :: 1433023200 :: 1433063871
2 :: CASH_ALICE :: 459.65 :: 1433109600 :: 1433185990
2 :: CASH_ALICE :: 435.05 :: 1433282400 :: 1433315141
